product_page_url,product_name,brand_name,retailer,product_description,color,original_price,sale_price,product_image_url,size_availability,product_code,scraped_at
https://www.shopbop.com/erve-atp-atelier/vp/v=1/1542437971.htm,Erve Boots,ATP Atelier,Shopbop,,Canella,$850.00,$340.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/atpat/atpat30155261c4/atpat30155261c4_1756140483872_2-0.jpg,"36, 37, 38, 39, 40, 41",ATPAT30155,2026-02-21T19:18:43.872Z
https://www.shopbop.com/jane-fold-over-boot-paris/vp/v=1/1556897162.htm,Jane Fold Over Boots 60mm,Paris Texas,Shopbop,,Ebano,"$1,290.00",$516.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/ptexa/ptexa3021545894/ptexa3021545894_1759428661323_2-0.jpg,"36, 37, 38, 39, 40, 41",PTEXA30215,2026-02-21T19:18:43.872Z
https://www.shopbop.com/very-bow-tie-bootie-aquazzura/vp/v=1/1570443659.htm,Very Bow Tie Booties 85mm,Aquazzura,Shopbop,,Charcoal,"$1,195.00",$478.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/aqudb/aqudb3119212894/aqudb3119212894_1761657641934_2-0.jpg,"36, 36.5, 37, 37.5, 38, 38.5, 39, 39.5, 40, 41",AQUDB31192,2026-02-21T19:18:43.872Z
https://www.shopbop.com/simple-block-heel-emme-parsons/vp/v=1/1557114509.htm,Simple Block Heels,Emme Parsons,Shopbop,,Ivory Nappa,$565.00,$226.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/emmep/emmep300632506b/emmep300632506b_1744572409886_2-0.jpg,"36, 37, 38, 39, 40, 41",EMMEP30063,2026-02-21T19:18:43.872Z
https://www.shopbop.com/g10122-burmaglassnappa-silk-gianvito-rossi/vp/v=1/1515306928.htm,Burma Glass Nappa Silk Sandals,Gianvito Rossi,Shopbop,,Silver/Trasp,"$1,395.00",$558.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/gianr/gianr30051264f3/gianr30051264f3_1753803399362_2-0.jpg,"36, 36.5, 37, 37.5, 38, 38.5, 39, 39.5, 40",GIANR30051,2026-02-21T19:18:43.872Z
https://www.shopbop.com/ankle-heeled-belt-boots-coperni/vp/v=1/1580947142.htm,Ankle Heeled Belt Boots,Coperni,Shopbop,,Brown,$880.00,$352.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/copea/copea3020125efd/copea3020125efd_1760465590101_2-0.jpg,"36, 37, 38, 39, 40, 41, 42",COPEA30201,2026-02-21T19:18:43.872Z
https://www.shopbop.com/royal-black-sand-fortune-rider/vp/v=1/1578844102.htm,Royal Black/ Sand Fortune Rider Boots,Johanna Ortiz,Shopbop,,Royal Black/Sand,"$1,650.00",$660.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/jorti/jorti30544264b6/jorti30544264b6_1761661579174_2-0.jpg,"36, 37, 38, 39, 40, 41",JORTI30544,2026-02-21T19:18:43.872Z
https://www.shopbop.com/amy-flats-missoni/vp/v=1/1527336111.htm,Amy Flats,Missoni,Shopbop,,Raschel Lame Multi Red,$860.00,$344.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/mison/mison4090925f74/mison4090925f74_1761683529515_2-0.jpg,"35, 36, 37, 37.5, 38, 38.5, 39, 40",MISON40909,2026-02-21T19:18:43.872Z
https://www.shopbop.com/printed-boat-shoes-farm-rio/vp/v=1/1594366121.htm,Printed Boat Shoes,FARM Rio,Shopbop,,Print,$268.00,$107.20,https://m.media-amazon.com/images/G/01/shopbop/prod/products/farmr/farmr3122013786/farmr3122013786_1757021254170_2-0.jpg,"5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10, 11",FARMR31220,2026-02-21T19:18:43.872Z
https://www.shopbop.com/progrid-triumph-saucony/vp/v=1/1568905435.htm,Progrid Triumph 4 Sneakers,Saucony,Shopbop,,Grey/Dove,$165.00,$66.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/sauco/sauco30118252d4/sauco30118252d4_1754499193799_2-0.jpg,"M 3.5/ W 5, M 4/ W 5.5, M 4.5/ W 6, M 5/ W 6.5, M 5.5/ W 7, M 6/ W 7.5, M 6.5/ W 8, M 7/ W 8.5, M 7.5/ W 9, M 8/ W 9.5, M 8.5/ W 10, M 9/ W 10.5, M 9.5/ W 11",SAUCO30118,2026-02-21T19:18:43.872Z
https://www.shopbop.com/eleanor-strappy-flat-sandal-loeffler/vp/v=1/1557020153.htm,Eleanor Strappy Flat Sandals,Loeffler Randall,Shopbop,,Cacao,$195.00,$78.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/loeff/loeff4242721712/loeff4242721712_1748895534835_2-0.jpg,"5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10, 10.5, 11, 11.5, 12",LOEFF42427,2026-02-21T19:18:43.872Z
https://www.shopbop.com/eve-heeled-sandal-jenni-kayne/vp/v=1/1523461636.htm,Eve Heeled Sandals,Jenni Kayne,Shopbop,,Earthen,$425.00,$170.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/jkayn/jkayn3028040945/jkayn3028040945_1741713689977_2-0.jpg,"36, 37, 38, 39, 40, 41",JKAYN30280,2026-02-21T19:18:43.872Z
https://www.shopbop.com/gen-heeled-sandal-reformation/vp/v=1/1559442352.htm,Gen Heeled Sandals,Reformation,Shopbop,,Wine Snake/Suede/Leather,$278.00,$111.20,https://m.media-amazon.com/images/G/01/shopbop/prod/products/refor/refor4169424ddd/refor4169424ddd_1739898135713_2-0.jpg,"5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10, 10.5, 11",REFOR41694,2026-02-21T19:18:43.872Z
https://www.shopbop.com/joan-flip-flop-christopher-esber/vp/v=1/1568489247.htm,Joan Flip Flops,Christopher Esber,Shopbop,,Maroon/Black,$715.00,$286.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/cesbe/cesbe30281264fa/cesbe30281264fa_1758047119197_2-0.jpg,"35, 36, 37, 38, 39, 40",CESBE30281,2026-02-21T19:18:43.872Z
https://www.shopbop.com/mira-atp-atelier/vp/v=1/1590881437.htm,Mira Heels,ATP Atelier,Shopbop,,Walnut Printed Lizard,$650.00,$260.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/atpat/atpat30154261c1/atpat30154261c1_1756140477876_2-0.jpg,"35, 36, 37, 38, 39, 40, 41",ATPAT30154,2026-02-21T19:18:43.872Z
https://www.shopbop.com/monogram-lug-ankle-boot-65mm/vp/v=1/1546535076.htm,T Monogram Lug Ankle Boots 65mm,Tory Burch,Shopbop,,Cocoa,$500.00,$200.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/toryb/toryb5123512963/toryb5123512963_1759249257551_2-0.jpg,"5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10, 10.5, 11",TORYB51235,2026-02-21T19:18:43.872Z
https://www.shopbop.com/destiny-gladiator-sandal-aquazzura/vp/v=1/1533339784.htm,Destiny Gladiator Sandals 35mm,Aquazzura,Shopbop,,Light Caramel,$995.00,$398.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/aqudb/aqudb3116735690/aqudb3116735690_1758641491051_2-0.jpg,"35, 36, 37, 38, 39, 40, 41",AQUDB31167,2026-02-21T19:18:43.872Z
https://www.shopbop.com/lady-jamie-haller/vp/v=1/1568748565.htm,The Lady Flats,Jamie Haller,Shopbop,,Navy,$625.00,$250.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/jhall/jhall300821d6a1/jhall300821d6a1_1757456526681_2-0.jpg,"36, 36.5, 37, 37.5, 38, 38.5, 39, 39.5, 40, 41",JHALL30082,2026-02-21T19:18:43.872Z
https://www.shopbop.com/premium-runner-mesh-common-projects/vp/v=1/1587651641.htm,Premium Runner In Mesh Sneakers,Common Projects,Shopbop,,White,$658.00,$263.20,https://m.media-amazon.com/images/G/01/shopbop/prod/products/cproj/cproj30014102ca/cproj30014102ca_1741198842813_2-0.jpg,"35, 36, 37, 38, 39, 40, 41",CPROJ30014,2026-02-21T19:18:43.872Z
https://www.shopbop.com/caged-kitty-jamie-haller/vp/v=1/1568461139.htm,The Caged Kitty Heels,Jamie Haller,Shopbop,,Burnished Bronze,$625.00,$250.00,https://m.media-amazon.com/images/G/01/shopbop/prod/products/jhall/jhall300861f125/jhall300861f125_1764023108513_2-0.jpg,"35, 36, 37, 38, 39, 40, 41",JHALL30086,2026-02-21T19:18:43.872Z
