Product page URL,Product name,Brand name,Retailer,Product description,Color,Original price,Sale price,Product image URL,Size availability
https://www.shopbop.com/chanel-caviar-boydoublzpwoc-what-goes/vp/v=1/1556754210.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2043253444&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_97,Chanel Caviar Boy Double Zip Wallet On Chain,Chanel,Shopbop,Chanel Chanel Caviar Boy Double Zip Wallet On Chain,Pink,"€2,967.86",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb3945611de9/wgadb3945611de9_1744068017150_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/glam-slam-pillow-bag-maison/vp/v=1/1536980947.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2053833061&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_96,Glam Slam Pillow Bag,Maison Margiela,Shopbop,Maison Margiela Glam Slam Pillow Bag,Black,"€1,984.23",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/margi/margi411521071b/margi411521071b_1744921972387_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/altay-small-shoulder-strap-isabel/vp/v=1/1561646034.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2035060278&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_95,Altay Small Crossbody Bag,Isabel Marant,Shopbop,Isabel Marant Altay Small Crossbody Bag,Cognac,€924.28,,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ismdb/ismdb3209713711/ismdb3209713711_1742906525558_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/chanel-chain-shoulder-bag-satin/vp/v=1/1542598158.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2005990479&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_94,"Chanel Chain Shoulder Bag, Satin",Chanel,Shopbop,"Chanel Chanel Chain Shoulder Bag, Satin",Black,"€4,053.25",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb335551071b/sbadb335551071b_1745948299390_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/small-hobo-marni/vp/v=1/1537969750.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2000741435&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_93,Small Hobo Bag,Marni,Shopbop,Marni Small Hobo Bag,Coffee,"€1,437.29",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/mardb/mardb3133212549/mardb3133212549_1725544853761_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/fendi-fendigraphy-hand-bag-goatskin/vp/v=1/1571571166.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2089362631&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_92,Fendi Fendigraphy Handbag Goatskin Leather,Fendi,Shopbop,Fendi Fendi Fendigraphy Handbag Goatskin Leather,Multi,"€1,611.12",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb33521102cb/sbadb33521102cb_1744842832210_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/big-shot-marc-jacobs/vp/v=1/1550745522.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2095639133&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_91,The Big Shot Camera Bag,Marc Jacobs,Shopbop,Marc Jacobs The Big Shot Camera Bag,Dark Grey,€296.79,,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/mjadb/mjadb3406722451/mjadb3406722451_1736970222949_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/chanel-red-caviar-new-classic/vp/v=1/1583836900.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2037274797&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_90,Chanel Red Caviar New Classic Jumbo Flap Bag,Chanel,Shopbop,Chanel Chanel Red Caviar New Classic Jumbo Flap Bag,Red,"€5,893.32",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb394591bb4e/wgadb394591bb4e_1744211540980_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/chanel-yellow-canvas-deauville-small/vp/v=1/1561410702.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2001311868&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_89,Chanel Canvas Deauville Small Bag,Chanel,Shopbop,Chanel Chanel Canvas Deauville Small Bag,Yellow,"€3,773.42",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb395861040f/wgadb395861040f_1746648722782_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/aero-intl-exp-whl-tumi/vp/v=1/1591837889.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2083150783&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_NB_88,Aero International Expandable 4 Wheel Carry On Suitcase,TUMI,Shopbop,TUMI Aero International Expandable 4 Wheel Carry On Suitcase,Carbon,"€2,115.66",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/tumii/tumii3136811965/tumii3136811965_1668438420920_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/chanel-multi-tweed-255-what/vp/v=1/1516825902.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2083169350&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_87,"Chanel Multi Tweed 2.55 Bag 10""",Chanel,Shopbop,"Chanel Chanel Multi Tweed 2.55 Bag 10""",Multi,"€8,055.62",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb39723102cb/wgadb39723102cb_1747166741338_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/chanel-blue-lambskin-chevron-trendy/vp/v=1/1587642230.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2039357304&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_86,Chanel Lambskin Chevron Trendy CC Pouchette,Chanel,Shopbop,Chanel Chanel Lambskin Chevron Trendy CC Pouchette,Blue,"€5,511.74",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb39719102c9/wgadb39719102c9_1747149905886_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/slide-bag-soft-suede-proenza/vp/v=1/1564081223.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2000577792&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_85,Slide Bag in Soft Suede,Proenza Schouler,Shopbop,Proenza Schouler Slide Bag in Soft Suede,Saddle,€669.89,,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/prosh/prosh2078910401/prosh2078910401_1724783246062_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/skano-isabel-marant/vp/v=1/1596887098.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2066485319&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_84,Skano,Isabel Marant,Shopbop,Isabel Marant Skano,Taupe,€657.17,,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ismdb/ismdb3181011876/ismdb3181011876_1708645151704_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/bags000466-acne-studios/vp/v=1/1568360195.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2040686205&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_83,Platt Shoulder Bag,Acne Studios,Shopbop,Acne Studios Platt Shoulder Bag,Denim Blue,€890.36,,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/acndb/acndb3235011629/acndb3235011629_1736809413796_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/christian-dior-book-tote-bag/vp/v=1/1505554579.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2003846730&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_82,"Christian Dior Book Tote Bag, Embroidery",Dior,Shopbop,"Dior Christian Dior Book Tote Bag, Embroidery",Multi,"€2,501.48",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb33610102cb/sbadb33610102cb_1749258713862_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/dual-chain-shoulder-marc-jacobs/vp/v=1/1513993903.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2086569454&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_81,The Quilted Denim Dual Chain Shoulder Bag,Marc Jacobs,Shopbop,Marc Jacobs The Quilted Denim Dual Chain Shoulder Bag,Light Wash Indigo,€419.74,,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/mjadb/mjadb3416668325/mjadb3416668325_1747333628321_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/small-traveler-tote-marc-jacobs/vp/v=1/1524234264.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2065788557&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_80,The Jacquard Medium Tote Bag,Marc Jacobs,Shopbop,Marc Jacobs The Jacquard Medium Tote Bag,Black,€275.59,,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/mjadb/mjadb336641c3a0/mjadb336641c3a0_1747422884288_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/herms-bearn-souffle-leather-shopbop/vp/v=1/1571091340.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2041309388&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_79,"Hermes Bearn Souffle Wallet, Leather",Hermes,Shopbop,"Hermes Hermes Bearn Souffle Wallet, Leather",Blue,"€1,165.94",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb33652102c9/sbadb33652102c9_1749247954624_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/louis-vuitton-city-steamer-monogram/vp/v=1/1501744847.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2095535322&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_78,"Louis Vuitton City Steamer MM, Monogram",Louis Vuitton,Shopbop,"Louis Vuitton Louis Vuitton City Steamer MM, Monogram",Brown,"€2,713.47",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb3358311409/sbadb3358311409_1748628846805_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/passeggiata-small-top-handle-attico/vp/v=1/1510761449.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2089098633&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_77,La Passeggiata Small Top Handle Bag,The Attico,Shopbop,The Attico La Passeggiata Small Top Handle Bag,Silver,"€1,348.26",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/atico/atico3006512208/atico3006512208_1743968647098_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/chanel-chain-shoulder-bag-matelasse/vp/v=1/1563964714.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2012746971&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_76,"Chanel Chain Shoulder Bag, Matelasse",Chanel,Shopbop,"Chanel Chanel Chain Shoulder Bag, Matelasse",Neutral,"€3,603.83",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb3364914997/sbadb3364914997_1749487421548_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/bags000466-acne-studios/vp/v=1/1534865451.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2042709507&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_75,Platt Micro Shoulder Bag,Acne Studios,Shopbop,Acne Studios Platt Micro Shoulder Bag,Neon Red,€890.36,,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/acndb/acndb3236437838/acndb3236437838_1736885868074_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/crossbody-croissant-coin-purse-lemaire/vp/v=1/1535561265.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2000679914&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_74,Crossbody Croissant Coin Purse,Lemaire,Shopbop,Lemaire Crossbody Croissant Coin Purse,Black,€440.94,,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/lemai/lemai3038322b0d/lemai3038322b0d_1735934915348_2-0._QL90_UX1128_.jpg,One Size
