Product page URL,Product name,Brand name,Retailer,Product description,Color,Original price,Sale price,Product image URL,Size availability
https://www.shopbop.com/stacking-ring-lele-sadoughi/vp/v=1/1506917317.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2019523144&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_79,Stacking Ring,Lele Sadoughi,Shopbop,Lele SadoughiStacking Ring,Jade Multi,$145.00,$87.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/leles/leles3132625943/leles3132625943_1764631170409_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/azur-earring-aureum/vp/v=1/1576450344.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2057201666&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_78,Azur Earrings,Aureum,Shopbop,AureumAzur Earrings,Gold,$150.00,$90.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/aureu/aureu3005511739/aureu3005511739_1755627101695_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/reedition-vinyl-cap-courrges/vp/v=1/1516525928.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2051878917&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_DB_77,Reedition Vinyl Cap,Courrèges,Shopbop,CourrègesReedition Vinyl Cap,Black,$190.00,$114.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/courr/courr300411071b/courr300411071b_1760542229260_2-0._QL90_UX1128_.jpg,S
https://www.shopbop.com/black-cord-satin-gold-leaf/vp/v=1/1528564964.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2087759754&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_76,Cord and Satin Gold Leaf Pendant Necklace,Kenneth Jay Lane,Shopbop,Kenneth Jay LaneCord and Satin Gold Leaf Pendant Necklace,Black/Satin Gold,$150.00,$90.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/kjlan/kjlan415332755b/kjlan415332755b_1760019556197_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/onyx-beaded-heart-necklace-mayamar/vp/v=1/1546912690.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2072004819&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_75,Onyx Beaded Heart Necklace,MAYAMAR,Shopbop,MAYAMAROnyx Beaded Heart Necklace,ONYX,$169.00,$101.40,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/mayam/mayam3003713347/mayam3003713347_1764619769958_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/deepa-gurnani-katrina-necklace/vp/v=1/1536013371.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2045393090&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_74,Deepa by Deepa Gurnani Katrina Necklace,Deepa Gurnani,Shopbop,Deepa GurnaniDeepa by Deepa Gurnani Katrina Necklace,Black,$150.00,$90.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/deepa/deepa4108322b0d/deepa4108322b0d_1764174121592_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/polished-gold-bead-necklace-kenneth/vp/v=1/1591539570.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2098201248&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_73,Polished Gold Bead Necklace,Kenneth Jay Lane,Shopbop,Kenneth Jay LanePolished Gold Bead Necklace,Polished Gold,$100.00,$60.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/kjlan/kjlan4151915130/kjlan4151915130_1760550851948_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/siren-jaw-clip-jennifer-behr/vp/v=1/1518893709.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2047352205&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_72,Siren Jaw Clip,Jennifer Behr,Shopbop,Jennifer BehrSiren Jaw Clip,Gold,$125.00,$75.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/jbehr/jbehr3083411739/jbehr3083411739_1745873043293_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/colbi-earrings-eliou/vp/v=1/1579561479.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2000237115&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_71,Colbi Earrings,éliou,Shopbop,éliouColbi Earrings,Gold Plated,$250.00,$150.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/eliou/eliou3026716ddb/eliou3026716ddb_1759944946674_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/miremba-kimeze/vp/v=1/1579735156.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2070567337&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_70,Miremba Sunglasses,KIMEZE,Shopbop,KIMEZEMiremba Sunglasses,Havana,$415.00,$249.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/kmeze/kmeze3003710f41/kmeze3003710f41_1761146098338_2-0._QL90_UX1128_.jpg,One Size
