web_scraper_order,web_scraper_start_url,pagination,price,data,data2,title,image,image2,image3,image4,item_page_title,item_page_link,data_1,data_2,Product_Name,image_1
"1771964316-11","https://www.shopbop.com/clothing/br/v=1/13266.htm","https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000","Previous Price €165.35","Onia","Crochet Knit Tie Front Top","","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/oniaa/oniaa3081427339/oniaa3081427339_1743870757498_2-0._QL90_UX1128_.jpg","","","","OniaCrochet Knit Tie Front TopPrevious Price €165.35Sale Price €33.07","https://www.shopbop.com/crochet-knit-tie-front-onia/vp/v=1/1563766066.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2053216602&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_90","Onia","Crochet Knit Tie Front Top","OniaCrochet Knit Tie Front Top","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/oniaa/oniaa3081427339/oniaa3081427339_1743870757498_2-0._QL90_UX1128_.jpg"
"1771964319-12","https://www.shopbop.com/clothing/br/v=1/13266.htm","https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000","Previous Price €100.06","Susana Monaco","Tube Gathered Top","","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/susan/susan4108121931/susan4108121931_1743097308535_2-0._QL90_UX1128_.jpg","","","","Susana MonacoTube Gathered TopPrevious Price €100.06Sale Price €20.01","https://www.shopbop.com/tube-gathered-top-susana-monaco/vp/v=1/1581575781.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2055399111&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_89","Susana Monaco","Tube Gathered Top","Susana MonacoTube Gathered Top","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/susan/susan4108121931/susan4108121931_1743097308535_2-0._QL90_UX1128_.jpg"
"1771964322-13","https://www.shopbop.com/clothing/br/v=1/13266.htm","https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000","Previous Price €133.98","LE BOP","Della Dress","Exclusive","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/lebop/lebop30093102ca/lebop30093102ca_1743441949494_2-0._QL90_UX1128_.jpg","","","","ExclusiveLE BOPDella DressPrevious Price €133.98Sale Price €26.80","https://www.shopbop.com/della-dress-le-bop/vp/v=1/1589569650.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2039419692&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_EC_88","LE BOP","Della Dress","LE BOPDella Dress","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/lebop/lebop30093102ca/lebop30093102ca_1743441949494_2-0._QL90_UX1128_.jpg"
"1771964324-14","https://www.shopbop.com/clothing/br/v=1/13266.htm","https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000","Previous Price €151.78","o.p.t","Chiara Dress","Editors’ Pick","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/opttt/opttt3024724452/opttt3024724452_1746544058930_2-0._QL90_UX1128_.jpg","","","","Editors’ Picko.p.tChiara DressPrevious Price €151.78Sale Price €30.36","https://www.shopbop.com/chiara-dress-updated-fabric-length/vp/v=1/1549183114.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2018295479&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_EP_87","o.p.t","Chiara Dress","o.p.tChiara Dress","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/opttt/opttt3024724452/opttt3024724452_1746544058930_2-0._QL90_UX1128_.jpg"
"1771964327-15","https://www.shopbop.com/clothing/br/v=1/13266.htm","https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000","Previous Price €337.49","rag & bone","Slade Crew Linen Vest","","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ragbo/ragbo4773313513/ragbo4773313513_1747421434173_2-0._QL90_UX1128_.jpg","","","","rag & boneSlade Crew Linen VestPrevious Price €337.49Sale Price €67.50","https://www.shopbop.com/slade-crew-linen-vest-rag/vp/v=1/1507530094.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2039033758&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_86","rag & bone","Slade Crew Linen Vest","rag & boneSlade Crew Linen Vest","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ragbo/ragbo4773313513/ragbo4773313513_1747421434173_2-0._QL90_UX1128_.jpg"
"1771964330-16","https://www.shopbop.com/clothing/br/v=1/13266.htm","https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000","Previous Price €176.38","Birds of Paradis","Esther Tank","","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/bpara/bpara3035558194/bpara3035558194_1751036131049_2-0._QL90_UX1128_.jpg","","","","Birds of ParadisEsther TankPrevious Price €176.38Sale Price €35.28","https://www.shopbop.com/pf25-w1400-esther-tank-birds/vp/v=1/1529774484.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2044958159&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_85","Birds of Paradis","Esther Tank","Birds of ParadisEsther Tank","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/bpara/bpara3035558194/bpara3035558194_1751036131049_2-0._QL90_UX1128_.jpg"
"1771964333-17","https://www.shopbop.com/clothing/br/v=1/13266.htm","https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000","Previous Price €419.74","Cara Cara","Ruby Dress","","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ccara/ccara3029524a64/ccara3029524a64_1744813416213_2-0._QL90_UX1128_.jpg","","","","Cara CaraRuby DressPrevious Price €419.74Sale Price €83.95","https://www.shopbop.com/ruby-dress-cara/vp/v=1/1500665474.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2042442875&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_84","Cara Cara","Ruby Dress","Cara CaraRuby Dress","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ccara/ccara3029524a64/ccara3029524a64_1744813416213_2-0._QL90_UX1128_.jpg"
"1771964335-18","https://www.shopbop.com/clothing/br/v=1/13266.htm","https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000","Previous Price €241.67","Closed","Jocy X Shorts","","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/closd/closd305032232c/closd305032232c_1742920702877_2-0._QL90_UX1128_.jpg","","","","ClosedJocy X ShortsPrevious Price €241.67Sale Price €48.33","https://www.shopbop.com/jocy-closed/vp/v=1/1544677262.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2024133192&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_83","Closed","Jocy X Shorts","ClosedJocy X Shorts","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/closd/closd305032232c/closd305032232c_1742920702877_2-0._QL90_UX1128_.jpg"
"1771964338-19","https://www.shopbop.com/clothing/br/v=1/13266.htm","https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000","Previous Price €194.18","Kivari","Ciao Shirt","","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/kivar/kivar3002393933/kivar3002393933_1745584497198_2-0._QL90_UX1128_.jpg","","","","KivariCiao ShirtPrevious Price €194.18Sale Price €38.84","https://www.shopbop.com/ciao-shirt-kivari/vp/v=1/1598645319.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2015677428&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_82","Kivari","Ciao Shirt","KivariCiao Shirt","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/kivar/kivar3002393933/kivar3002393933_1745584497198_2-0._QL90_UX1128_.jpg"
"1771964341-20","https://www.shopbop.com/clothing/br/v=1/13266.htm","https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000","Previous Price €295.94","POSSE","Matilda Shift Mini Dress","","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/posse/posse301001071b/posse301001071b_1750705232766_2-0._QL90_UX1128_.jpg","","","","POSSEMatilda Shift Mini DressPrevious Price €295.94Sale Price €59.19","https://www.shopbop.com/matilda-shift-mini-dress-posse/vp/v=1/1538590213.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2097186969&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_81","POSSE","Matilda Shift Mini Dress","POSSEMatilda Shift Mini Dress","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/posse/posse301001071b/posse301001071b_1750705232766_2-0._QL90_UX1128_.jpg"
